Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,DS
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,2025-10-17
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,2025-10-17
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,2025-10-17
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,2025-10-17
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,2025-10-17
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,2025-10-17
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,2025-10-17
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,2025-10-17
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,2025-10-17
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,2025-10-17
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,2025-10-17
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,2025-10-17
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,2025-10-17
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,2025-10-17
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,2025-10-17
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,2025-10-17
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,2025-10-17
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,2025-10-17
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,2025-10-17
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,2025-10-17
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,2025-10-17
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,2025-10-17
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,2025-10-17
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,2025-10-17
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,2025-10-17
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,2025-10-17
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,2025-10-17
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,2025-10-17
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,2025-10-17
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,2025-10-17
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,2025-10-17
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,2025-10-17
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,2025-10-17
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,2025-10-17
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,2025-10-17
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,2025-10-17
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,2025-10-17
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,2025-10-17
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,2025-10-17
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,2025-10-17
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,2025-10-17
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,2025-10-17
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,2025-10-17
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,2025-10-17
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,2025-10-17
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,2025-10-17
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,2025-10-17
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,2025-10-17
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,2025-10-17
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,2025-10-17
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,2025-10-17
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,2025-10-17
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,2025-10-17
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,2025-10-17
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,2025-10-17
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,2025-10-17
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,2025-10-17
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,2025-10-17
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,2025-10-17
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,2025-10-17
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,2025-10-17
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,2025-10-17
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,2025-10-17
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,2025-10-17
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,2025-10-17
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,2025-10-17
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,2025-10-17
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,2025-10-17
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,2025-10-17
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,2025-10-17
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,2025-10-17
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,2025-10-17
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,2025-10-17
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,2025-10-17
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,2025-10-17
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,2025-10-17
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,2025-10-17
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,2025-10-17
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,2025-10-17
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,2025-10-17
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,2025-10-17
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,2025-10-17
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,2025-10-17
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,2025-10-17
201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,2025-10-17
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,2025-10-17
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,2025-10-17
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,2025-10-17
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,2025-10-17
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,2025-10-17
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,2025-10-17
208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,2025-10-17
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,2025-10-17
210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,2025-10-17
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,2025-10-17
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,2025-10-17
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,2025-10-17
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,2025-10-17
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,2025-10-17
216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,2025-10-17
217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,2025-10-17
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,2025-10-17
219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,2025-10-17
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,2025-10-17
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,2025-10-17
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,2025-10-17
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,2025-10-17
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,2025-10-17
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,2025-10-17
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,2025-10-17
227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,2025-10-17
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,2025-10-17
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,2025-10-17
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,2025-10-17
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,2025-10-17
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,2025-10-17
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,2025-10-17
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,2025-10-17
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,2025-10-17
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,2025-10-17
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000,2025-10-17
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,2025-10-17
239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,2025-10-17
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,2025-10-17
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,2025-10-17
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,2025-10-17
243,2023-05-23,CUST243,Female,47,Electronics,3,300,900,2025-10-17
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,2025-10-17
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,2025-10-17
246,2023-04-20,CUST246,Female,48,Electronics,2,25,50,2025-10-17
247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,2025-10-17
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,2025-10-17
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,2025-10-17
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,2025-10-17
251,2023-08-31,CUST251,Female,57,Beauty,4,50,200,2025-10-17
252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,2025-10-17
253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,2025-10-17
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,2025-10-17
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,2025-10-17
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,2025-10-17
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,2025-10-17
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,2025-10-17
259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,2025-10-17
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,2025-10-17
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,2025-10-17
262,2023-07-30,CUST262,Female,32,Beauty,4,30,120,2025-10-17
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,2025-10-17
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,2025-10-17
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,2025-10-17
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,2025-10-17
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90,2025-10-17
268,2023-02-20,CUST268,Female,28,Electronics,1,30,30,2025-10-17
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,2025-10-17
270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,2025-10-17
271,2023-06-23,CUST271,Female,62,Beauty,4,30,120,2025-10-17
272,2023-02-25,CUST272,Female,61,Electronics,2,50,100,2025-10-17
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,2025-10-17
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,2025-10-17
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,2025-10-17
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,2025-10-17
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,2025-10-17
278,2023-03-13,CUST278,Female,37,Clothing,4,25,100,2025-10-17
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,2025-10-17
280,2023-04-04,CUST280,Female,37,Clothing,3,500,1500,2025-10-17
281,2023-05-23,CUST281,Female,29,Beauty,4,500,2000,2025-10-17
282,2023-08-25,CUST282,Female,64,Electronics,4,50,200,2025-10-17
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,2025-10-17
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,2025-10-17
285,2023-08-15,CUST285,Female,31,Electronics,1,25,25,2025-10-17
286,2023-10-09,CUST286,Male,55,Electronics,2,25,50,2025-10-17
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,2025-10-17
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,2025-10-17
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60,2025-10-17
290,2023-10-04,CUST290,Female,30,Beauty,2,300,600,2025-10-17
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,2025-10-17
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,2025-10-17
293,2023-05-02,CUST293,Male,50,Electronics,3,30,90,2025-10-17
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,2025-10-17
295,2023-07-28,CUST295,Female,27,Beauty,3,300,900,2025-10-17
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,2025-10-17
297,2023-09-04,CUST297,Female,40,Electronics,2,500,1000,2025-10-17
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200,2025-10-17
299,2023-07-25,CUST299,Male,61,Electronics,2,500,1000,2025-10-17
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,2025-10-17
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,2025-10-17
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600,2025-10-17
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,2025-10-17
304,2023-07-19,CUST304,Female,37,Electronics,2,30,60,2025-10-17
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,2025-10-17
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50,2025-10-17
307,2023-05-27,CUST307,Female,26,Electronics,2,25,50,2025-10-17
308,2023-08-05,CUST308,Female,34,Beauty,4,300,1200,2025-10-17
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25,2025-10-17
310,2023-10-12,CUST310,Female,28,Beauty,1,25,25,2025-10-17
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100,2025-10-17
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,2025-10-17
313,2023-03-21,CUST313,Female,55,Beauty,3,500,1500,2025-10-17
314,2023-04-08,CUST314,Male,52,Clothing,4,30,120,2025-10-17
315,2023-06-01,CUST315,Male,47,Clothing,2,30,60,2025-10-17
316,2023-04-22,CUST316,Female,48,Clothing,2,25,50,2025-10-17
317,2023-01-30,CUST317,Male,22,Electronics,3,30,90,2025-10-17
318,2023-10-24,CUST318,Male,61,Clothing,1,25,25,2025-10-17
319,2023-10-05,CUST319,Male,31,Clothing,1,500,500,2025-10-17
320,2023-02-01,CUST320,Female,28,Electronics,4,300,1200,2025-10-17
321,2023-06-10,CUST321,Female,26,Electronics,2,25,50,2025-10-17
322,2023-01-30,CUST322,Male,51,Electronics,1,500,500,2025-10-17
323,2023-01-26,CUST323,Female,29,Beauty,3,300,900,2025-10-17
324,2023-10-27,CUST324,Female,52,Electronics,3,50,150,2025-10-17
325,2023-09-02,CUST325,Female,52,Electronics,2,25,50,2025-10-17
326,2023-09-15,CUST326,Female,18,Clothing,3,25,75,2025-10-17
327,2023-09-29,CUST327,Male,57,Electronics,3,50,150,2025-10-17
328,2023-03-22,CUST328,Male,39,Beauty,2,50,100,2025-10-17
329,2023-01-30,CUST329,Female,46,Electronics,4,25,100,2025-10-17
330,2023-09-18,CUST330,Female,25,Beauty,4,50,200,2025-10-17
331,2023-02-11,CUST331,Male,28,Electronics,3,30,90,2025-10-17
332,2023-04-06,CUST332,Male,58,Electronics,4,300,1200,2025-10-17
333,2023-02-05,CUST333,Female,54,Electronics,4,300,1200,2025-10-17
334,2023-11-01,CUST334,Male,31,Electronics,3,300,900,2025-10-17
335,2023-02-04,CUST335,Female,47,Beauty,4,30,120,2025-10-17
336,2023-12-12,CUST336,Female,52,Beauty,3,50,150,2025-10-17
337,2023-05-01,CUST337,Male,38,Clothing,1,500,500,2025-10-17
338,2023-07-26,CUST338,Male,54,Beauty,2,50,100,2025-10-17
339,2023-03-03,CUST339,Female,22,Electronics,2,25,50,2025-10-17
340,2023-10-19,CUST340,Female,36,Clothing,4,300,1200,2025-10-17
341,2023-05-07,CUST341,Male,31,Clothing,4,50,200,2025-10-17
342,2023-10-24,CUST342,Female,43,Clothing,4,500,2000,2025-10-17
343,2023-11-01,CUST343,Male,21,Electronics,2,25,50,2025-10-17
344,2023-01-21,CUST344,Female,42,Beauty,1,30,30,2025-10-17
345,2023-11-14,CUST345,Male,62,Electronics,1,30,30,2025-10-17
346,2023-02-11,CUST346,Male,59,Clothing,2,500,1000,2025-10-17
347,2023-08-03,CUST347,Male,42,Electronics,1,25,25,2025-10-17
348,2023-12-03,CUST348,Female,35,Electronics,2,300,600,2025-10-17
349,2023-10-26,CUST349,Female,57,Beauty,1,50,50,2025-10-17
350,2023-10-17,CUST350,Male,25,Beauty,3,25,75,2025-10-17
351,2023-09-25,CUST351,Female,56,Clothing,3,30,90,2025-10-17
352,2023-06-11,CUST352,Male,57,Electronics,2,500,1000,2025-10-17
353,2023-05-14,CUST353,Male,31,Electronics,1,500,500,2025-10-17
354,2023-04-15,CUST354,Female,49,Beauty,4,50,200,2025-10-17
355,2023-12-09,CUST355,Female,55,Electronics,1,500,500,2025-10-17
356,2023-06-10,CUST356,Male,50,Electronics,3,500,1500,2025-10-17
357,2023-05-03,CUST357,Female,40,Electronics,3,25,75,2025-10-17
358,2023-05-16,CUST358,Female,32,Beauty,1,300,300,2025-10-17
359,2023-07-22,CUST359,Male,50,Clothing,1,50,50,2025-10-17
360,2023-03-09,CUST360,Male,42,Clothing,4,25,100,2025-10-17
361,2023-12-10,CUST361,Female,34,Electronics,4,300,1200,2025-10-17
362,2023-11-27,CUST362,Male,50,Clothing,1,25,25,2025-10-17
363,2023-06-03,CUST363,Male,64,Beauty,1,25,25,2025-10-17
364,2023-08-23,CUST364,Female,19,Beauty,1,500,500,2025-10-17
365,2023-06-11,CUST365,Male,31,Clothing,1,300,300,2025-10-17
366,2023-02-07,CUST366,Male,57,Clothing,2,50,100,2025-10-17
367,2023-01-05,CUST367,Female,57,Electronics,1,50,50,2025-10-17
368,2023-08-23,CUST368,Female,56,Clothing,4,300,1200,2025-10-17
369,2023-11-15,CUST369,Male,23,Electronics,3,500,1500,2025-10-17
370,2023-10-16,CUST370,Male,23,Electronics,2,30,60,2025-10-17
371,2023-02-21,CUST371,Female,20,Beauty,1,25,25,2025-10-17
372,2023-02-07,CUST372,Female,24,Beauty,3,500,1500,2025-10-17
373,2023-10-03,CUST373,Female,25,Beauty,2,300,600,2025-10-17
